symbol,code,name,industry,listing_time
301469.SZSE,301469,恒达新材,造纸和纸制品业,2023-08-22
301418.SZSE,301418,协昌科技,电气机械和器材制造业,2023-08-21
688693.SSE,688693,锴威特,计算机、通信和其他电子设备制造业,2023-08-18
301533.SZSE,301533,威马农机,专用设备制造业,2023-08-18
920274.BSE,920274,宏裕包材,橡胶和塑料制品业,2023-08-18
920504.BSE,920504,博迅生物,仪器仪表制造业,2023-08-17
688573.SSE,688573,信宇人,专用设备制造业,2023-08-17
301511.SZSE,301511,德福科技,计算机、通信和其他电子设备制造业,2023-08-17
688592.SSE,688592,司南导航,计算机、通信和其他电子设备制造业,2023-08-16
301498.SZSE,301498,乖宝宠物,农副食品加工业,2023-08-16
920748.BSE,920748,路桥信息,软件和信息技术服务业,2023-08-16
688548.SSE,688548,广钢气体,计算机、通信和其他电子设备制造业,2023-08-15
301510.SZSE,301510,固高科技,仪器仪表制造业,2023-08-15
301372.SZSE,301372,科净源,生态保护和环境治理业,2023-08-11
920058.BSE,920058,华洋赛车,铁路、船舶、航空航天和其他运输设备制造业,2023-08-10
301348.SZSE,301348,蓝箭电子,计算机、通信和其他电子设备制造业,2023-08-10
301487.SZSE,301487,盟固利,化学原料和化学制品制造业,2023-08-09
300904.SZSE,300904,威力传动,通用设备制造业,2023-08-09
688671.SSE,688671,碧兴物联,仪器仪表制造业,2023-08-09
920926.BSE,920926,鸿智科技,电气机械和器材制造业,2023-08-08
603296.SSE,603296,华勤技术,计算机、通信和其他电子设备制造业,2023-08-08
688347.SSE,688347,华虹宏力,计算机、通信和其他电子设备制造业,2023-08-07
301362.SZSE,301362,民爆光电,电气机械和器材制造业,2023-08-04
301509.SZSE,301509,金凯生科,医药制造业,2023-08-03
301518.SZSE,301518,长华化学,化学原料和化学制品制造业,2023-08-03
301371.SZSE,301371,敷尔佳,化学原料和化学制品制造业,2023-08-01
603119.SSE,603119,浙江荣泰,非金属矿物制品业,2023-08-01
688646.SSE,688646,ST逸飞,专用设备制造业,2023-07-28
301519.SZSE,301519,舜禹股份,生态保护和环境治理业,2023-07-27
688651.SSE,688651,盛邦安全,软件和信息技术服务业,2023-07-26
301172.SZSE,301172,君逸数码,软件和信息技术服务业,2023-07-26
688612.SSE,688612,威迈斯,汽车制造业,2023-07-26
301515.SZSE,301515,港通医疗,专用设备制造业,2023-07-25
301446.SZSE,301446,福事特,通用设备制造业,2023-07-25
688450.SSE,688450,光格科技,计算机、通信和其他电子设备制造业,2023-07-24
301468.SZSE,301468,博盈特焊,专用设备制造业,2023-07-24
301499.SZSE,301499,维科精密,汽车制造业,2023-07-21
688602.SSE,688602,康鹏科技,化学原料和化学制品制造业,2023-07-20
301512.SZSE,301512,智信精密,专用设备制造业,2023-07-20
920982.BSE,920982,锦波生物,医药制造业,2023-07-20
920701.BSE,920701,豪声电子,计算机、通信和其他电子设备制造业,2023-07-19
688610.SSE,688610,埃科光电,仪器仪表制造业,2023-07-19
301505.SZSE,301505,苏州规划,专业技术服务业,2023-07-19
688563.SSE,688563,航材股份,铁路、船舶、航空航天和其他运输设备制造业,2023-07-19
688627.SSE,688627,精智达,专用设备制造业,2023-07-18
